ModelName,Nr,Manufacturer,Type,Model,Initial service date,Africa,Middle East/Asia/Pacific,Europe & CIS,North & South America,Total aircraft delivered,Africa2,Middle East/Asia/Pacific3,Europe & CIS4,North & South America5,Total aircraft ordered,Total aircraft (delivered and ordered),Engine Manufacturer,Model / Type,No. of engines,Static thrust (kN),Max. seats (single class),Two class seating,Three class seating,No. abreast,Hold volume (m³),Volume per passenger,Ramp,Max. take-off,Max. landing,Zero-fuel,Max. payload,Max. fuel payload,Design payload,Design fuel load,Operational empty,Ops empty/Max. T/O,Max. payload/Max. T/O,Max. fuel/Max. T/O,Max. landing/Max. T/O,Standard,Optional,Length (m),Height (m),Width (m),Finess Ratio,Area (m²),Span (m),MAC (m),Aspect Ratio,Taper Ratio,Average (t/c) %,1/4 Chord Sweep (º),Trailing Edge Flaps Type,Flap Span/Wing Span,Area (m2),Leading Edge Flaps Type,Area (m²)2,Area (m²)3,Height (m)4,Aspect Ratio5,Taper Ratio6,1/4 Chord Sweep (º)7,Tail Arm (m),Sv/S,SvLv/Sb,Area (m²)8,Span (m)9,Aspect Ratio10,Taper Ratio11,1/4 Chord Sweep (º)12,Tail Arm  (m),Sh/S,ShLh/Sc,Track (m),Wheelbase (m),Turning radius (m),No. of nose wheels,No. of main wheels,Main Wheel diameter (m),Main Wheel width (m),Length (m)13,Max. width (m),Spanwise location,Max. power load (kg/kN),Max. wing load (kg/m2),Thrust/Weight Ratio,ISA sea level,ISA +20ºC SL.,ISA 5000ft,ISA +20ºC 5000ft,ISA sea level.,ISA +20ºC SL.14,ISA 5000ft15,ISA +20ºC 5000ft16,V2,Vapp,Vno,Mmo,Vne,Mne,CLmax (T/O),CLmax (L/D @ MLM),Speed (kt),Altitude (ft),Fuel consumption (kg/h),Speed (kt)17,Altitude (ft)18,Fuel consumption (kg/h)19,Max. payload20,Design range,Max. fuel (+ payload),Ferry range,W/SCLmax,W/SCLtoST,Fuel/pax/nm (kg),Seats x Range (seats.nm)
A300-600R,1,AIRBUS,A300,600R,1974,28,205,83,72,388,0,0,0,37,37,425,PW,4158,2,257,375,266,228,9,116,0.309333333333333,171400,170500,140000,130000,41100,27100,25270,56330,88900,0.521407624633431,0.241055718475073,0.315768328445748,0.821114369501466,68150,75350,53.3,5.64,5.64,9.45035460992908,260,44.84,6.437,7.73317538461539,0.3,10.5,28,F2,0.8,47.3,slats,30.3,45.2,8.6,1.63628318584071,0.365,40,24.9,0.173846153846154,9.65381184382076E-02,69.454,16.26,3.8066576439082,0.42,34,25.6,0.267130769230769,1.06238118569329,9.6,18.6,34,2,8,1.245,0.483,6.7,2.7,0.359,331.712062256809,655.769230769231,0.307305072028363,2280,3189,,,1489,1489,1701,1701,153,136,335,0.82,395,0.88,2.44169638563287,2.97799915435222,480,31000,5120,456,35000,4300,3283,4000,4698,,2160.20751531929,2678.24757301984,5.29417293233083E-02,1064000
A310-300,2,AIRBUS,A310,300,1983,11,69,87,57,224,0,5,1,0,6,230,PW,4152,2,231,280,218,187,9,79.9,0.285357142857143,150900,150000,123000,113000,33300,21500,20710,49624,79666,0.531106666666667,0.222,0.321793333333333,0.82,61100,68300,45.13,5.64,5.64,8.00177304964539,219,43.89,5.89,8.79603698630137,0.283,11.8,28,F1,0.84,36.68,slats,28.54,45.2,8.1,1.45154867256637,0.395,40,20.2,0.206392694063927,9.49904857619349E-02,64,16.26,4.13105625,0.417,34,22.5,0.292237442922374,1.1163569551364,9.6,15.21,31.4,2,8,1.168,0.406,6.3,2.7,0.352,324.675324675325,684.931506849315,0.313965341488277,2290,2450,2950,3660,1490,1490,1686,1686,156,138,360,0.84,420,0.9,2.45313491707241,3.01682781036201,484,35000,4690,458,37000,3730,3645,4300,5076,,2227.23287657093,2702.76878954555,5.29379133774269E-02,937400
A319-100,3,AIRBUS,A319,100,1995,2,0,48,57,107,1,4,82,264,351,458,CFMI,CFM56-5A4,2,99.7,153,124,-,6,27,0.176470588235294,64400,64000,61000,57000,17390,5360,11780,13020,39200,0.6125,0.27171875,0.294521875,0.953125,23860,,33.84,4.14,3.95,8.56708860759494,122.4,33.91,4.288,9.39451062091503,0.24,,25,F1,0.78,21.1,slats,12.64,21.5,6.26,1.82267906976744,0.303,34,10.67,0.175653594771242,5.52705354234488E-02,31,12.45,5.00008064516129,0.256,29,11.67,0.253267973856209,0.689281076236465,7.6,12.6,20.6,2,4,1.143,0.4064,4.44,2.37,0.338,320.962888665998,522.875816993464,0.317596839959225,1750,2080,2360,2870,1350,1350,1530,1530,133,131,381,0.89,350,0.82,2.57643245247532,2.97066394360948,487,33000,3160,446,37000,1980,1355,1900,4158,,1726.688666936,2071.3946089233,5.52631578947368E-02,235600
A320-200,4,AIRBUS,A320,200,1988,27,162,244,237,670,6,47,105,146,304,974,CFMI,CFM56-5A3,2,111.2,179,150,-,6,38.76,0.216536312849162,73900,73500,64500,60500,19190,13500,14250,17940,41310,0.562040816326531,0.26108843537415,0.256454421768708,0.877551020408163,23860,,37.57,4.14,3.95,9.51139240506329,122.4,33.91,4.288,9.39451062091503,0.24,,25,F1,0.78,21.1,slats,12.64,21.5,6.26,1.82267906976744,0.303,34,12.53,0.175653594771242,6.49053241664306E-02,31,12.45,5.00008064516129,0.256,29,13.53,0.253267973856209,0.799140785045361,7.6,12.63,21.9,2,4,1.143,0.4064,4.44,2.37,0.338,330.485611510791,600.490196078431,0.308445498484817,2180,2590,2950,4390,1440,1440,1645,1645,143,134,350,0.82,381,0.89,2.55951296014624,3.00203947891769,487,28000,3200,448,37000,2100,637,2700,3672,,1962.26893913241,2423.84625316958,4.42962962962963E-02,405000
A321-200,5,AIRBUS,A321,200,1993,4,17,84,0,105,0,34,68,0,102,207,CFMI,CFM56-5B3,2,142,220,186,-,6,51.76,0.235272727272727,89400,89000,73500,71500,22780,19060,17670,23330,48000,0.539325842696629,0.255955056179775,0.210370786516854,0.825842696629214,23700,26600,44.51,4.14,3.95,11.2683544303797,122.4,33.91,4.288,9.39451062091503,0.24,,25,F2,0.78,21.1,slats,12.64,21.5,6.26,1.82267906976744,0.303,34,15.2,0.175653594771242,7.87359080071624E-02,31,12.45,5.00008064516129,0.256,29,16.2,0.253267973856209,0.956842625109745,7.6,16.9,29,2,4,1.27,0.455,4.44,2.37,0.338,313.380281690141,727.124183006536,0.325281471555052,2000,2286,3269,,1580,1580,1795,1795,143,138,350,0.82,381,0.89,3.09927419663966,3.22548812699215,487,28000,3550,450,37000,2100,1955,2700,2602,,2211.4755827503,2590.28647712344,4.64555953803266E-02,502200
A330-200,6,AIRBUS,A330,200,1998,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,GE,CF6-80E1A4,2,310,380,293,253,9,136,0.357894736842105,230900,230000,177150,165142,36400,0,24035,85765,120200,0.522608695652174,0.158260869565217,0.477743913043478,0.770217391304348,139090,,57.77,5.64,5.64,10.2429078014184,363.1,58,7.26,9.26466538143762,0.251,,29.7,S2,0.665,,slats,,47.65,9.44,1.87016998950682,0.35,45,25.2,0.131231065822088,5.70176354951139E-02,31,12.45,5.00008064516129,0.256,29,16.2,0.253267973856209,0.956842625109745,7.6,16.9,29,2,8,,,7,3.1,0.312,370.967741935484,633.434315615533,0.27478615432345,2470,2590,3900,,1750,1750,1970,1970,158,135,330,0.86,365,0.93,2.21162199180716,2.73838854791355,,,,470,39000,,4210,6370,,,2269.21436730481,3146.34001873853,4.59518540942237E-02,1866410
A330-300,7,AIRBUS,A330,300,1994,0,59,17,4,80,0,47,42,42,131,211,GE,CF6-80E1A2,2,300,440,335,295,9,162.9,0.370227272727273,217900,217000,179000,169000,48400,18600,28025,70786,118189,0.544649769585253,0.223041474654378,0.357684331797235,0.824884792626728,98250,,62.47,5.64,5.64,11.0762411347518,363.1,58,7.26,9.26466538143762,0.251,,29.7,S2,0.665,,slats,,45.2,8.45,1.57970132743363,0.35,45,27.5,0.124483613329661,5.90224028718221E-02,72.9,19.06,4.98331412894376,0.36,30,28.6,0.200771137427706,0.790916601987932,10.7,25.4,41.4,2,8,,,7,3.1,0.312,361.666666666667,597.631506472046,0.281852900970983,2320,2680,3840,,1600,1600,1920,1920,144,136,330,0.86,365,0.93,2.51207144779795,2.72644451830571,500,33000,5000,465,39000,4700,3888,4500,7046,,2150.33353480234,2906.75410448955,4.69558872305141E-02,1507500
A340-200,8,AIRBUS,A340,200,1993,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,CFMI,CFM-56-5C2,4,139,440,303,262,9,136,0.309090909090909,257900,257000,181000,172000,49400,21220,24890,111882,120228,0.467813229571984,0.192217898832685,0.430350194552529,0.704280155642023,140000,,58.21,5.64,5.64,10.3209219858156,363.1,58,7.26,9.26466538143762,0.251,,29.7,S2,0.665,,slats,,45.2,8.45,1.57970132743363,0.35,45,25.5,0.124483613329661,5.47298644811442E-02,72.9,19.06,4.98331412894376,0.36,30,26.5,0.200771137427706,0.732842306037769,10.7,23.2,,2,10,,,4.95,2.37,0.312/0.672,462.230215827338,707.793996144313,0.22053253053146,2790,3260,4320,,1856,1856,2094,2094,154,134,330,0.86,365,0.93,2.60129088611848,2.83981748175099,500,33000,7180,475,39000,5400,6393,7350,8834,,2445.0371007275,4224.13479377497,5.02377584697245E-02,2227050
A340-300,9,AIRBUS,A340,300,1994,8,54,69,9,140,1,10,15,8,34,174,CFMI,CFM-56-5C4,4,151,440,335,295,9,162.9,0.370227272727273,271900,271000,190000,178000,48150,33160,28025,113125,129850,0.479151291512915,0.177675276752768,0.412490774907749,0.701107011070111,141500,148700,62.47,5.64,5.64,11.0762411347518,363.1,58,7.26,9.26466538143762,0.251,,29.7,S2,0.665,,slats,,45.2,8.45,1.57970132743363,0.35,45,27.5,0.124483613329661,5.90224028718221E-02,72.9,19.06,4.98331412894376,0.36,30,28.6,0.200771137427706,0.790916601987932,10.7,25.4,40.6,2,10,,,4.95,2.37,0.312/0.672,448.675496688742,746.350867529606,0.227194932499784,3000,3380,4298,,1964,1964,2227,2227,158,136,330,0.86,365,0.93,2.60586765121626,2.89399138814572,500,33000,7300,475,39000,5700,6371,7150,8089,,2529.96675817916,4242.68853297235,4.72288905124726E-02,2395250
A340-500,10,AIRBUS,A340,500,2002,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,--->,R-R,Trent 553,4,235.8,440,350,313,9,134.1,0.304772727272727,365900,365000,236000,222000,51635,31450,29735,164875,170390,0.466821917808219,0.141465753424658,0.423396712328767,0.646575342465753,195620,213120,65.6,5.64,5.64,11.6312056737589,437.3,61.2,8.347,8.56492110679168,0.22,,31.1,S2,0.625,,slats,,47.65,9.44,1.87016998950682,0.35,45,27.5,0.108964097873314,0.048962625678368,93,21.5,4.97043010752688,0.36,30,28.6,0.21266864852504,0.728683760370929,10.7,28.53,,2,12,,,6.1,3.05,0.296/0.625,386.980491942324,834.667276469243,0.263415860248838,3100,3550,4250,,2090,2090,2390,2390,,139,330,0.86,365,0.93,,2.85726567698768,,,,,,,7050,8500,9000,9800,2865.70690577003,4144.90733423179,5.54201680672269E-02,2975000
